epoch,accuracy,loss,val_accuracy,val_loss
0,0.6926314830780029,1.0516008138656616,0.5275271534919739,1.6553412675857544
1,0.7768394947052002,0.7013428807258606,0.5216350555419922,1.7727138996124268
2,0.7898350358009338,0.6452336311340332,0.5404161214828491,1.7184385061264038
3,0.8083287477493286,0.5997525453567505,0.5291843414306641,1.699212670326233
4,0.812432587146759,0.5770170092582703,0.5509114265441895,1.7051606178283691
5,0.8186935782432556,0.558711588382721,0.5531209707260132,1.7451260089874268
6,0.8237971067428589,0.5413070917129517,0.5474129915237427,1.7454030513763428
7,0.8285849690437317,0.529298722743988,0.5531209707260132,1.7158966064453125
8,0.8307947516441345,0.5173117518424988,0.5453875660896301,1.7289559841156006
9,0.8367926478385925,0.5066736340522766,0.5413367748260498,1.7754029035568237
