epoch,accuracy,loss,val_accuracy,val_loss
0,0.7485455870628357,0.7978295683860779,0.513717532157898,1.7229208946228027
1,0.8103610873222351,0.5771961212158203,0.5461241006851196,1.657485008239746
2,0.8272676467895508,0.5257276892662048,0.5383906960487366,1.776580810546875
3,0.835871160030365,0.495990514755249,0.5372859239578247,1.7821191549301147
4,0.8423988819122314,0.4749886095523834,0.5420733094215393,1.7247154712677002
5,0.8494796752929688,0.45613670349121094,0.5514638423919678,1.740546703338623
6,0.8533717393875122,0.4409243166446686,0.5343399047851562,1.853401780128479
7,0.8555157780647278,0.43222880363464355,0.5527527332305908,1.72475266456604
8,0.8606027960777283,0.42017096281051636,0.5538575053215027,1.749355673789978
9,0.8621528148651123,0.411719411611557,0.5595654845237732,1.7877566814422607
10,0.866249680519104,0.40362343192100525,0.5634321570396423,1.6860861778259277
11,0.8665228486061096,0.39800965785980225,0.557908296585083,1.7439502477645874
12,0.8702509999275208,0.388985812664032,0.546676516532898,1.8408571481704712
13,0.8710294365882874,0.3837341070175171,0.5347081422805786,1.956032156944275
14,0.8738903999328613,0.37982887029647827,0.5684036016464233,1.709507942199707
