epoch,accuracy,loss,val_accuracy,val_loss
0,0.7367464900016785,0.8499057292938232,0.5142699480056763,1.7882815599441528
1,0.7968481183052063,0.6201915144920349,0.5069047808647156,1.9553993940353394
2,0.8158304691314697,0.5613951683044434,0.53010493516922,1.8058592081069946
3,0.8252874612808228,0.5302698016166687,0.542809784412384,1.839935302734375
4,0.8332149982452393,0.5059928894042969,0.5400478839874268,1.815108060836792
5,0.8399202227592468,0.4867253303527832,0.5376542210578918,1.9340999126434326
6,0.8435323238372803,0.476797491312027,0.5649051666259766,1.7561334371566772
7,0.8484622836112976,0.45841988921165466,0.5601178407669067,1.7661123275756836
8,0.8501283526420593,0.45251354575157166,0.56306391954422,1.724044919013977
9,0.8557957410812378,0.4384727478027344,0.557908296585083,1.7883366346359253
10,0.8564171195030212,0.4336704611778259,0.5481495261192322,1.8605331182479858
